"Data_Observacao","Casos_Confirmados","Mortes_Notificadas"
"26/02/2020","1.0","0.0"
"27/02/2020","1.0","0.0"
"28/02/2020","1.0","0.0"
"29/02/2020","2.0","0.0"
"01/03/2020","2.0","0.0"
"02/03/2020","2.0","0.0"
"03/03/2020","2.0","0.0"
"04/03/2020","4.0","0.0"
"05/03/2020","4.0","0.0"
"06/03/2020","13.0","0.0"
"07/03/2020","13.0","0.0"
"08/03/2020","20.0","0.0"
"09/03/2020","25.0","0.0"
"10/03/2020","31.0","0.0"
"11/03/2020","38.0","0.0"
"12/03/2020","52.0","0.0"
"13/03/2020","151.0","0.0"
"14/03/2020","151.0","0.0"
"15/03/2020","162.0","0.0"
"16/03/2020","200.0","0.0"
"17/03/2020","321.0","1.0"
"18/03/2020","372.0","3.0"
"19/03/2020","621.0","6.0"
"20/03/2020","793.0","11.0"
"21/03/2020","1021.0","15.0"
"22/03/2020","1546.0","25.0"
"23/03/2020","1924.0","34.0"
"24/03/2020","2247.0","46.0"
"25/03/2020","2554.0","59.0"
"26/03/2020","2985.0","77.0"
"27/03/2020","3417.0","92.0"
"28/03/2020","3904.0","111.0"
"29/03/2020","4256.0","136.0"
"30/03/2020","4579.0","159.0"
"31/03/2020","5717.0","201.0"
"01/04/2020","6836.0","240.0"
"02/04/2020","8044.0","324.0"
"03/04/2020","9056.0","359.0"
"04/04/2020","10360.0","445.0"
"05/04/2020","11130.0","486.0"
"06/04/2020","12161.0","564.0"
"07/04/2020","14034.0","686.0"
"08/04/2020","16170.0","819.0"
"09/04/2020","18092.0","950.0"
"10/04/2020","19638.0","1057.0"
"11/04/2020","20727.0","1124.0"
"12/04/2020","22192.0","1223.0"
"13/04/2020","23430.0","1328.0"
"14/04/2020","25262.0","1532.0"
"15/04/2020","28320.0","1736.0"
"16/04/2020","30425.0","1924.0"
"17/04/2020","33682.0","2141.0"
"18/04/2020","36658.0","2354.0"
"19/04/2020","38654.0","2462.0"
"20/04/2020","40743.0","2587.0"
"21/04/2020","43079.0","2741.0"
"22/04/2020","45757.0","2906.0"
"23/04/2020","50036.0","3331.0"
"24/04/2020","54043.0","3704.0"
"25/04/2020","59324.0","4057.0"
"26/04/2020","63100.0","4286.0"
"27/04/2020","67446.0","4603.0"
"28/04/2020","73235.0","5083.0"
"29/04/2020","79685.0","5513.0"
"30/04/2020","87187.0","6006.0"
"01/05/2020","92202.0","6412.0"
"02/05/2020","97100.0","6761.0"
"03/05/2020","101826.0","7051.0"
"04/05/2020","108620.0","7367.0"
"05/05/2020","115455.0","7938.0"
"06/05/2020","126611.0","8588.0"
"07/05/2020","135773.0","9190.0"
"08/05/2020","146894.0","10017.0"
"09/05/2020","156061.0","10656.0"
"10/05/2020","162699.0","11123.0"
"11/05/2020","169594.0","11653.0"
"12/05/2020","178214.0","12461.0"
"13/05/2020","190137.0","13240.0"
"14/05/2020","203165.0","13999.0"
"15/05/2020","220291.0","14962.0"
"16/05/2020","233511.0","15662.0"
"17/05/2020","241080.0","16118.0"
"18/05/2020","255368.0","16853.0"
"19/05/2020","271885.0","17983.0"
